"Date","hour","temperature","kWh"
"12/13/2014",22,33.98,44.8916512469228
"12/13/2014",23,33.08,43.99113240278
"12/14/2014",0,33.98,47.3095651832101
"12/14/2014",1,33.98,46.9549426604814
"12/14/2014",2,33.98,46.602978313391
"12/14/2014",3,33.98,46.2536522168148
"12/14/2014",4,33.08,45.3258118662212
"12/14/2014",5,33.98,45.5628358203627
"12/14/2014",6,33.98,45.2213064125417
"12/14/2014",7,33.98,78.0322083562708
"12/14/2014",8,35.42,78.9879715300975
"12/14/2014",9,37.04,80.0776187236285
"12/14/2014",10,39.02,81.466140066458
"12/14/2014",11,41,82.7773891910133
"12/14/2014",12,42.98,84.0165898817622
"12/14/2014",13,44.06,84.3747808712118
"12/14/2014",14,44.06,83.7423253089728
"12/14/2014",15,42.98,82.1414044661932
"12/14/2014",16,41,79.7211426218501
"12/14/2014",17,39.92,78.1274610408962
"12/14/2014",18,37.94,75.6921236859919
"12/14/2014",19,37.04,74.2736437484446
"12/14/2014",20,35.06,41.3090494561283
"12/14/2014",21,35.06,40.9994055337433
"12/14/2014",22,33.98,40.0922872269357
"12/14/2014",23,33.98,39.791763897598
"12/15/2014",0,33.98,78.7525535859852
"12/15/2014",1,33.08,77.1727908336982
"12/15/2014",2,33.08,76.5943198698354
"12/15/2014",3,33.08,76.0201850023145
"12/15/2014",4,33.08,75.450353728672
"12/15/2014",5,33.08,74.8847937900757
"12/15/2014",6,32,73.1618074971836
"12/15/2014",7,33.98,129.894148175153
"12/15/2014",8,35.06,130.849187120315
"12/15/2014",9,37.04,133.298983728743
"12/15/2014",10,39.02,135.610347213759
"12/15/2014",11,41,137.793081646981
"12/15/2014",12,39.92,135.038501256113
"12/15/2014",13,39.92,134.026281131166
"12/15/2014",14,39.02,131.589810050884
"12/15/2014",15,37.94,128.875185870211
"12/15/2014",16,37.04,126.460048644534
"12/15/2014",17,39.02,128.652827093207
"12/15/2014",18,37.04,124.571318330001
"12/15/2014",19,37.94,125.05433086313
"12/15/2014",20,35.96,69.596139505726
"12/15/2014",21,35.96,69.0744615222543
"12/15/2014",22,36.32,68.8815718355442
